_startDate,_endDate,_value
2021-03-13 01:05:07 +0200,2021-03-13 01:05:40 +0200,0
2021-03-13 13:34:06 +0200,2021-03-13 13:34:39 +0200,0.1
2021-03-13 15:32:02 +0200,2021-03-13 15:34:54 +0200,0
2021-03-13 16:06:30 +0200,2021-03-13 16:07:32 +0200,0
2021-03-13 17:06:32 +0200,2021-03-13 17:07:04 +0200,0
2021-03-13 17:07:18 +0200,2021-03-13 17:12:16 +0200,0
2021-03-13 17:26:59 +0200,2021-03-13 17:31:58 +0200,0
2021-03-13 17:31:58 +0200,2021-03-13 17:33:19 +0200,0.02
2021-03-13 21:05:30 +0200,2021-03-13 21:07:06 +0200,0
2021-03-13 21:07:38 +0200,2021-03-13 21:11:14 +0200,0
2021-03-13 22:07:56 +0200,2021-03-13 22:12:24 +0200,0
2021-03-14 20:39:09 +0200,2021-03-14 20:41:59 +0200,0
2021-03-14 20:43:24 +0200,2021-03-14 20:48:22 +0200,0
2021-03-14 20:48:23 +0200,2021-03-14 20:53:20 +0200,0
2021-03-14 20:53:22 +0200,2021-03-14 20:58:21 +0200,0
2021-03-14 20:58:42 +0200,2021-03-14 21:03:42 +0200,0
2021-03-14 21:03:42 +0200,2021-03-14 21:06:33 +0200,0
2021-03-14 21:06:49 +0200,2021-03-14 21:11:47 +0200,0
2021-03-14 21:11:48 +0200,2021-03-14 21:16:47 +0200,0
2021-03-14 21:16:47 +0200,2021-03-14 21:21:46 +0200,0
2021-03-14 21:21:47 +0200,2021-03-14 21:23:33 +0200,0
2021-03-15 20:40:04 +0200,2021-03-15 20:45:03 +0200,0
2021-03-15 20:45:03 +0200,2021-03-15 20:49:03 +0200,0
2021-03-15 20:51:35 +0200,2021-03-15 20:52:05 +0200,0
2021-03-15 20:54:17 +0200,2021-03-15 20:54:42 +0200,0
2021-03-15 20:56:56 +0200,2021-03-15 20:57:45 +0200,0
2021-03-15 20:58:27 +0200,2021-03-15 21:03:24 +0200,0.01
2021-03-15 21:03:31 +0200,2021-03-15 21:08:30 +0200,0
2021-03-15 21:08:30 +0200,2021-03-15 21:13:28 +0200,0
2021-03-15 21:13:29 +0200,2021-03-15 21:18:28 +0200,0.01
2021-03-15 21:18:29 +0200,2021-03-15 21:18:58 +0200,0.07
2021-03-16 13:20:20 +0200,2021-03-16 13:20:43 +0200,0
2021-03-16 13:59:23 +0200,2021-03-16 13:59:44 +0200,0.08
